country,international_students_sum
Argentina,39817
Armenia,403
Australia,223532
Austria,26557
Azerbaijan,726
Bahrain,344
Bangladesh,551
Belarus,4683
Belgium,32114
Bolivia,555
Bosnia and Herzegovina,1003
Brazil,9341
Brunei,635
Bulgaria,2
Canada,127360
Chile,8121
China,72344
Colombia,3080
Costa Rica,552
Croatia,1160
Cuba,1166
Cyprus,874
Czech Republic,13966
Denmark,12054
Ecuador,618
Egypt,40493
Estonia,2225
Finland,7593
France,104979
Georgia,662
Germany,105077
Ghana,606
Greece,3155
Honduras,
Hong Kong,34198
Hungary,935
India,10214
Indonesia,9065
"Iran, Islamic Republic of",1754
Iraq,1668
Ireland,17929
Israel,4875
Italy,39892
Japan,49612
Jordan,8401
Kazakhstan,6721
Kenya,
Kuwait,6228
Latvia,875
Lebanon,4741
Lithuania,1652
Macau SAR,13
Malaysia,27634
Malta,816
Mexico,16278
Morocco,2441
Netherlands,67062
New Zealand,25738
Norway,3396
Oman,248
Pakistan,2833
"Palestinian Territory, Occupied",3211
Panama,2524
Paraguay,531
Peru,2146
Philippines,2743
Poland,15013
Portugal,3803
Puerto Rico,448
Qatar,3197
Romania,9243
Russia,54854
Saudi Arabia,21418
Serbia,5935
Singapore,13644
Slovakia,769
Slovenia,862
South Africa,5792
South Korea,34796
Spain,38429
Sri Lanka,236
Sudan,866
Sweden,33865
Switzerland,35295
Syrian Arab Republic,2184
Taiwan,27217
Thailand,4976
Tunisia,1073
Turkey,22001
Uganda,2694
Ukraine,2436
United Arab Emirates,2821
United Kingdom,340287
United States of America,356421
Uruguay,208
Venezuela,716
Vietnam,1592
Grand Total,2245813
